test_case_no,executed_requirements,executed_requirement_texts
1,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
2,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
3,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
4,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
5,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
6,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
7,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
8,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
9,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
10,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
11,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
12,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
13,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
14,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
15,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
16,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
17,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
18,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
19,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
20,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
21,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
22,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
23,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
24,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
25,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
26,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
27,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
28,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
29,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
30,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
31,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
32,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
33,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
34,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
35,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
36,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
37,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
38,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
39,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
40,"REQ_1,REQ_2,REQ_3,REQ_4,REQ_5,REQ_6,REQ_7,REQ_8",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25 | delfbyf0 = a0 + a1 * (present_temperature - temp0) + a2 * (present_temperature - temp0) ** 2 + a3 * (present_temperature - temp0) ** 3 + a4 * (present_temperature - temp0) ** 4 + a5 * (present_temperature - temp0) ** 5 + a6 * (present_temperature - temp0) ** 6 | deltaf = actual_frequency - theoretical_frequency | deltaf = f0 * delfbyf0 | new_time_period = 1 / (f0 + deltaf) | delta_time_period = new_time_period - t0
41,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
42,"REQ_1,REQ_2,REQ_4",f0 = 1 / 0.000125 | theoretical_frequency = f0 | temp0 = 25
